Version,Vector,BaseScore,ImpactSubscore,ExploitabilitySubscore,TemporalScore,EnvironmentalScore,Severity
2,AV:A/AC:H/Au:N/C:C/I:C/A:P,6.5,9.54,3.18,,,Medium
2,AV:A/AC:H/Au:N/C:C/I:C/A:P/E:H/RL:ND/RC:ND,6.5,9.54,3.18,6.5,,Medium
2,AV:A/AC:H/Au:N/C:C/I:C/A:P/E:U/RL:OF/RC:C,6.5,9.54,3.18,4.8,,Medium
2,AV:A/AC:H/Au:N/C:C/I:N/A:C/E:POC/RL:ND/RC:C,6.2,9.21,3.18,5.6,,Medium
2,AV:A/AC:H/Au:N/C:C/I:N/A:C/E:U/RL:OF/RC:C,6.2,9.21,3.18,4.6,,Medium
2,AV:A/AC:H/Au:N/C:C/I:N/A:N,4.6,6.87,3.18,,,Medium
2,AV:A/AC:H/Au:N/C:C/I:N/A:N/E:H/RL:ND/RC:ND,4.6,6.87,3.18,4.6,,Medium
2,AV:A/AC:H/Au:N/C:C/I:N/A:N/E:ND/RL:ND/RC:ND,4.6,6.87,3.18,,,Medium
2,AV:A/AC:H/Au:N/C:C/I:N/A:N/E:POC/RL:OF/RC:C,4.6,6.87,3.18,3.6,,Medium
2,AV:A/AC:H/Au:N/C:C/I:N/A:N/E:U/RL:OF/RC:C,4.6,6.87,3.18,3.4,,Medium
2,AV:A/AC:H/Au:N/C:C/I:N/A:N/E:U/RL:U/RC:UR,4.6,6.87,3.18,3.7,,Medium
2,AV:A/AC:H/Au:N/C:C/I:N/A:P/E:U/RL:U/RC:UR,5.3,7.84,3.18,4.3,,Medium
2,AV:A/AC:H/Au:N/C:C/I:P/A:N,5.3,7.84,3.18,,,Medium
2,AV:A/AC:H/Au:N/C:C/I:P/A:N/E:H/RL:ND/RC:ND,5.3,7.84,3.18,5.3,,Medium
2,AV:A/AC:H/Au:N/C:C/I:P/A:N/E:U/RL:OF/RC:C,5.3,7.84,3.18,3.9,,Medium
2,AV:A/AC:H/Au:N/C:C/I:P/A:P,5.8,8.55,3.18,,,Medium
2,AV:A/AC:H/Au:N/C:C/I:P/A:P/E:F/RL:OF/RC:C,5.8,8.55,3.18,4.8,,Medium
2,AV:A/AC:H/Au:N/C:C/I:P/A:P/E:H/RL:OF/RC:C,5.8,8.55,3.18,5,,Medium
2,AV:A/AC:H/Au:N/C:C/I:P/A:P/E:U/RL:OF/RC:C,5.8,8.55,3.18,4.3,,Medium
2,AV:A/AC:H/Au:N/C:N/I:C/A:C/E:U/RL:OF/RC:C,6.2,9.21,3.18,4.6,,Medium
2,AV:A/AC:H/Au:N/C:N/I:C/A:C/E:U/RL:U/RC:UR,6.2,9.21,3.18,5,,Medium
2,AV:A/AC:H/Au:N/C:N/I:C/A:N,4.6,6.87,3.18,,,Medium
2,AV:A/AC:H/Au:N/C:N/I:C/A:N/E:H/RL:OF/RC:C,4.6,6.87,3.18,4,,Medium
2,AV:A/AC:H/Au:N/C:N/I:C/A:N/E:U/RL:OF/RC:C,4.6,6.87,3.18,3.4,,Medium
2,AV:A/AC:H/Au:N/C:N/I:C/A:N/E:U/RL:U/RC:UR,4.6,6.87,3.18,3.7,,Medium
2,AV:A/AC:H/Au:N/C:N/I:C/A:P/E:U/RL:OF/RC:C,5.3,7.84,3.18,3.9,,Medium
2,AV:A/AC:H/Au:N/C:N/I:C/A:P/E:U/RL:U/RC:UR,5.3,7.84,3.18,4.3,,Medium
2,AV:A/AC:H/Au:N/C:N/I:N/A:C,4.6,6.87,3.18,,,Medium
2,AV:A/AC:H/Au:N/C:N/I:N/A:C/E:U/RL:OF/RC:C,4.6,6.87,3.18,3.4,,Medium
2,AV:A/AC:H/Au:N/C:N/I:N/A:C/E:U/RL:OF/RC:UR,4.6,6.87,3.18,3.2,,Medium
2,AV:A/AC:H/Au:N/C:N/I:N/A:C/E:U/RL:U/RC:C,4.6,6.87,3.18,3.9,,Medium
2,AV:A/AC:H/Au:N/C:N/I:N/A:C/E:U/RL:U/RC:UR,4.6,6.87,3.18,3.7,,Medium
2,AV:A/AC:H/Au:N/C:N/I:N/A:P,1.8,2.86,3.18,,,Low
2,AV:A/AC:H/Au:N/C:N/I:N/A:P/E:H/RL:OF/RC:C,1.8,2.86,3.18,1.6,,Low
2,AV:A/AC:H/Au:N/C:N/I:N/A:P/E:U/RL:OF/RC:C,1.8,2.86,3.18,1.3,,Low
2,AV:A/AC:H/Au:N/C:N/I:P/A:C/E:U/RL:OF/RC:C,5.3,7.84,3.18,3.9,,Medium
2,AV:A/AC:H/Au:N/C:N/I:P/A:N/E:F/RL:W/RC:UR,1.8,2.86,3.18,1.5,,Low
2,AV:A/AC:H/Au:N/C:N/I:P/A:N/E:H/RL:ND/RC:ND,1.8,2.86,3.18,1.8,,Low
2,AV:A/AC:H/Au:N/C:N/I:P/A:N/E:ND/RL:ND/RC:ND,1.8,2.86,3.18,,,Low
2,AV:A/AC:H/Au:N/C:N/I:P/A:N/E:U/RL:OF/RC:C,1.8,2.86,3.18,1.3,,Low
2,AV:A/AC:H/Au:N/C:N/I:P/A:N/E:U/RL:U/RC:UR,1.8,2.86,3.18,1.5,,Low
2,AV:A/AC:H/Au:N/C:N/I:P/A:P/E:U/RL:OF/RC:C,3.2,4.94,3.18,2.4,,Low
2,AV:A/AC:H/Au:N/C:N/I:P/A:P/E:U/RL:U/RC:UR,3.2,4.94,3.18,2.6,,Low
2,AV:A/AC:H/Au:N/C:P/I:C/A:C/E:POC/RL:U/RC:C,6.5,9.54,3.18,5.9,,Medium
2,AV:A/AC:H/Au:N/C:P/I:C/A:C/E:U/RL:OF/RC:C,6.5,9.54,3.18,4.8,,Medium
2,AV:A/AC:H/Au:N/C:P/I:C/A:N/E:U/RL:U/RC:UR,5.3,7.84,3.18,4.3,,Medium
2,AV:A/AC:H/Au:N/C:P/I:C/A:P/E:POC/RL:OF/RC:C,5.8,8.55,3.18,4.5,,Medium
2,AV:A/AC:H/Au:N/C:P/I:C/A:P/E:U/RL:OF/RC:C,5.8,8.55,3.18,4.3,,Medium
2,AV:A/AC:H/Au:N/C:P/I:N/A:C/E:U/RL:OF/RC:C,5.3,7.84,3.18,3.9,,Medium
2,AV:A/AC:H/Au:N/C:P/I:N/A:N,1.8,2.86,3.18,,,Low
2,AV:A/AC:H/Au:N/C:P/I:N/A:N/E:H/RL:ND/RC:ND,1.8,2.86,3.18,1.8,,Low
